Domain	Lmap-NC	Lmap-ST	Lmap-Tot	Lmap-BestCost
Domain	Lmap-NC	Lmap-ST	Lmap-Tot	Lmap-BestCost
25	159	76	539	50.0
50	163	92	627	100.0
75	163	195	1140	150.0
100	56	320	1660	200.0
125	85	497	2573	250.0
150	116	838	4310	300.0
175	163	1134	5838	350.0
200	200	1548	7945	400.0
225	259	2201	11269	450.0
250	322	2547	13059	500.0
275	375	3318	16968	550.0
300	542	3829	19693	600.0
325	631	4576	23513	650.0
350	724	5992	30690	700.0
375	1029	7122	36646	750.0
400	1143	8510	43696	800.0
425	1258	9973	51129	850.0
450	1350	10718	54946	900.0
475	1703	13708	70247	950.0
500	1831	15846	81070	1000.0
525	1948	19064	97277	1050.0
550	2321	26518	134917	1100.0
575	2420	32817	166509	1150.0
600	3286	42249	214537	1200.0
625	4008	48579	246911	1250.0
650	3617	59234	299805	1300.0
675	8692	69247	355020	1350.0
700	14471	74961	389285	1400.0
725	18133	109402	565689	1450.0
750	12858	131083	668689	1500.0
775	14108	141597	723104	1550.0
800	16254	173358	884878	1600.0
825	20068	185488	957660	1650.0
850	12906	201962	1024309	1700.0
Domain	Lmap-NC	Lmap-ST	Lmap-Tot	Lmap-BestCost
875	8106	207242	215743	1750.0
Domain	Lmap-NC	Lmap-ST	Lmap-Tot	Lmap-BestCost
Domain	Lmap-NC	Lmap-ST	Lmap-Tot	Lmap-BestCost
