10	0.372	0.601	6.08
20	0.581	2.07	9.02
30	0.724	3.321
40	0.813	4.099
50	1.133	5.473
60	1.3	6.177
70	1.485	10.283
80	1.298	12.261
90	1.586	13.421
100	1.695	16.617
110	1.763	20.672
120	2.004	37.597
130	2.011	46.143
140	3.069	47.525
150	2.91	58.459
160	3.065	71.315
170	3.248	90.212
180	3.348	101.485
190	2.92	124.461
200	3.034	151.786
210	3.351	175.566
220	4.606	205.203
230	3.908	235.282
240	4.172	281.836
250	5.136	321.971
260	4.923	367.613
270	4.252	418.759
280	6.038	468.963
290	5.919	546.643
300	5.97	632.342
