Domain	Lmap-NC	Lmap-ST	Lmap-Tot	Lmap-BestCost
25	1117	436	3301	10010.0
50	324	643	3544	20010.0
75	385	1110	5939	30010.0
100	633	1935	10311	40010.0
125	763	2380	12665	50010.0
150	1001	1981	10909	60010.0
175	1278	2234	12450	70010.0
200	1517	2468	13862	80010.0
225	1653	4487	24095	90010.0
250	1791	3874	21164	100010.0
275	2141	3437	19331	110010.0
300	2270	3855	21552	120010.0
325	2456	4431	24616	130010.0
350	2729	8937	47422	140010.0
375	2936	8666	46272	150010.0
400	3361	8289	44809	160010.0
425	4213	8376	46100	170010.0
450	5340	7746	44078	180010.0
475	9637	8846	53873	190010.0
500	6569	12956	71354	200010.0
525	9256	9550	57015	210010.0
550	10739	14154	81518	220010.0
575	12382	10307	63937	230010.0
600	13220	8789	57171	240010.0
625	13377	11965	73207	250010.0
650	11456	13035	76638	260010.0
675	13386	12104	73914	270010.0
700	12328	14888	87660	280010.0
725	17075	19239	113295	290010.0
750	14572	24796	138771	300010.0
775	18373	42394	230356	310010.0
800	19398	43173	235319	320010.0
