Domain	Lmap-NC	Lmap-ST	Lmap-Tot	Lmap-BestCost
25	96	78	174	10010.0
50	47	14	61	20010.0
75	63	12	75	30010.0
100	75	9	84	40010.0
125	44	8	52	50010.0
150	78	13	92	60010.0
175	88	13	101	70010.0
200	47	12	59	80010.0
225	28	6	34	90010.0
250	24	8	32	100010.0
275	43	7	50	110010.0
300	20	5	25	120010.0
325	22	6	29	130010.0
350	19	4	23	140010.0
375	22	6	28	150010.0
400	38	6	44	160010.0
425	26	8	34	170010.0
450	21	7	28	180010.0
475	34	4	38	190010.0
500	29	6	35	200010.0
525	18	4	22	210010.0
550	22	5	27	220010.0
575	17	5	23	230010.0
600	16	5	21	240010.0
625	40	5	45	250010.0
650	10	6	16	260010.0
675	10	4	14	270010.0
700	10	5	15	280010.0
725	20	3	23	290010.0
750	13	4	17	300010.0
775	12	5	17	310010.0
800	9	2	11	320010.0
