Domain	Lmap-NC	Lmap-ST	Lmap-Tot	Lmap-BestCost
25	888	402	2899	10201.0
Domain	Lmap-NC	Lmap-ST	Lmap-Tot	Lmap-BestCost
Domain	Lmap-NC	Lmap-ST	Lmap-Tot	Lmap-BestCost
25	2888	3394	19859	540000.0
Domain	Lmap-NC	Lmap-ST	Lmap-Tot	Lmap-BestCost
25	1470	1429	8615	240000.0
Domain	Lmap-NC	Lmap-ST	Lmap-Tot	Lmap-BestCost
25	883	391	2839	10000.0
Domain	Lmap-NC	Lmap-ST	Lmap-Tot	Lmap-BestCost
25	1109	774	4984	135000.0
Domain	Lmap-NC	Lmap-ST	Lmap-Tot	Lmap-BestCost
25	1024	587	3962	15625.0
Domain	Lmap-NC	Lmap-ST	Lmap-Tot	Lmap-BestCost
25	54	14	68	15625.0
Domain	Lmap-NC	Lmap-ST	Lmap-Tot	Lmap-BestCost
25	214	104	738	625.0
Domain	Lmap-NC	Lmap-ST	Lmap-Tot	Lmap-BestCost
25	658	137	1345	2500.0
Domain	Lmap-NC	Lmap-ST	Lmap-Tot	Lmap-BestCost
25	781	235	1960	5625.0
Domain	Lmap-NC	Lmap-ST	Lmap-Tot	Lmap-BestCost
25	909	392	2873	10000.0
Domain	Lmap-NC	Lmap-ST	Lmap-Tot	Lmap-BestCost
25	1036	596	4018	15625.0
